ts,date,market,granularity,low,high,open,close,volume,close_pc,close_cpc,cma,sma5,sma8,sma13,sma20,sma50,sma200,ema8,ema12,ema26,goldencross,deathcross,bb20_upper,bb20_mid,bb20_lower,fbb_mid,fbb_upper0_236,fbb_upper0_382,fbb_upper0_5,fbb_upper0_618,fbb_upper0_786,fbb_upper1,fbb_lower0_236,fbb_lower0_382,fbb_lower0_5,fbb_lower0_618,fbb_lower0_786,fbb_lower1,rolling_mean,rolling_std,support,resistance,rsi14,stochrsi14k,stochrsi14d,williamsr14,macd,signal,obv,obv_pc,elder_ray_bull,elder_ray_bear,eri_buy,eri_sell,astral_buy,astral_sell,hammer,inverted_hammer,shooting_star,hanging_man,three_white_soldiers,three_black_crows,doji,three_line_strike,two_black_gapping,morning_star,evening_star,abandoned_baby,morning_doji_star,evening_doji_star,ema8gtema12,ema8gtema12co,ema8ltema12,ema8ltema12co,ema12gtema26,ema12gtema26co,ema12ltema26,ema12ltema26co,sma5gtsma8,sma5gtsma8co,sma5ltsma8,sma5ltsma8co,sma8gtsma13,sma8gtsma13co,sma8ltsma13,sma8ltsma13co,sma50gtsma200,sma50gtsma200co,sma50ltsma200,sma50ltsma200co,macdgtsignal,macdgtsignalco,macdltsignal,macdltsignalco,-di14,+di14,adx14,adx14_trend,adx14_strength,closegtbb20_upper,closegtbb20_upperco,closeltbb20_mid,closeltbb20_midco,closeltbb20_lower,closeltbb20_lowerco,closegtbb20_mid,closegtbb20_midco
2023-02-27 06:00:00,2023-02-27 06:00:00,MATICUSDT,1h,1.2562,1.263,1.2586,1.2594,1262664.5,0.0007946598855690379,-0.14819073385187664,1.3513318181818181,1.2686800000000003,1.271850000000001,1.2761307692307704,1.2746049999999998,1.2617820000000008,1.2594,1.2691768907831553,1.2709725577996303,1.2705489965172088,True,False,1.2916778410058827,1.2746049999999998,1.2575321589941169,1.2746583333333334,1.2803446827153986,1.283862509028032,1.2867056837190645,1.289548858410097,1.2935967681397025,1.2987530341047955,1.2689719839512683,1.265454157638635,1.2626109829476024,1.25976780825657,1.2557198985269644,1.2505636325618714,1.2746049999999998,0.008758182640133384,1.257088634719733,1.2921213652802666,43.58109717859379,1.0090904135887162,7.791168197844635,-85.2941176470586,0.0004235612824003976,0.00314219001125923,-117607967.10000007,-1.06,-0.008154940261422938,-0.014954940261422855,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,31.340206185567045,19.845360824742215,13.58076948065748,bear,weak,False,False,True,False,False,False,False,False
2023-02-27 07:00:00,2023-02-27 07:00:00,MATICUSDT,1h,1.2565,1.2645,1.2593,1.2567,1610609.9,-0.0021438780371606514,-0.15001690902942155,1.350797175141243,1.2641800000000003,1.268725000000001,1.2744538461538473,1.2734199999999996,1.2618500000000008,1.2567,1.2664042483868985,1.2687767796766103,1.2695231449233415,True,False,1.2919474499058563,1.2734199999999996,1.2548925500941428,1.273685,1.2798234764253857,1.28362100845126,1.286690246663953,1.2897594848766458,1.294129247755734,1.2996954933279061,1.2675465235746142,1.2637489915487399,1.260679753336047,1.257610515123354,1.253240752244266,1.2476745066720938,1.27342,0.00950438126118347,1.254411237477633,1.292428762522367,42.26137710054281,1.0090904135887162,2.924542781114433,-98.8584474885846,-0.0007463652467492032,0.0023644789596575433,-119218577.00000007,1.37,-0.004589948795505228,-0.012589948795505235,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,24.825362708221466,21.49382052659858,13.357197677862564,bear,weak,False,False,True,False,False,False,False,False
2023-02-27 08:00:00,2023-02-27 08:00:00,MATICUSDT,1h,1.248,1.2614,1.2566,1.2503,2806954.7,-0.00509270311132326,-0.15434562056137957,1.350232584269663,1.2586800000000005,1.2660125000000009,1.2715769230769243,1.2725899999999997,1.2614180000000008,1.2503,1.2628255265231432,1.265934198187901,1.2680992082623532,True,False,1.293540312647112,1.2725899999999997,1.2516396873528874,1.2727733333333333,1.2797121710137769,1.284004841782187,1.2874742606224088,1.2909436794626308,1.29588319103176,1.3021751879114845,1.2658344956528897,1.2615418248844796,1.2580724060442579,1.2546029872040358,1.2496634756349065,1.2433714787551822,1.2725899999999999,0.010747283622534564,1.2510954327549308,1.294084567245069,39.22894434605743,1.0090904135887162,1.009090413588664,-95.57692307692314,-0.002165010074467455,0.0014585811528325435,-122025531.70000008,2.35,-0.005005670396147188,-0.018405670396147267,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,30.730337078651726,13.764044943820174,15.158903504992136,bear,weak,False,False,True,False,True,True,False,False
2023-02-27 09:00:00,2023-02-27 09:00:00,MATICUSDT,1h,1.2426,1.254,1.2503,1.2481,2404829.4,-0.001759577701351711,-0.1558336151504902,1.3496620111731843,1.2545800000000003,1.262312500000001,1.2681384615384628,1.2712649999999996,1.260952000000001,1.2481,1.259553187295778,1.2631904753897625,1.2666177854281049,True,False,1.2947391794321077,1.2712649999999996,1.2477908205678916,1.271645,1.2795986598789533,1.2845191443803397,1.2884959743198163,1.292472804259293,1.2981347316307514,1.3053469486396327,1.2636913401210466,1.2587708556196602,1.2547940256801835,1.2508171957407068,1.2451552683692484,1.237943051360367,1.271265,0.012041999965036456,1.2471810000699273,1.295348999930073,38.21387433856881,-5.0922229396140515e-14,0.6727269423924084,-90.41811846689887,-0.00342731003835528,0.00048140291459497866,-124430361.10000008,1.97,-0.00979057462526911,-0.021190574625269187,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,35.457227138643134,10.56047197640117,17.608520714513322,bear,weak,False,False,True,False,False,False,False,False
2023-02-27 10:00:00,2023-02-27 10:00:00,MATICUSDT,1h,1.234,1.2505,1.2481,1.2367,3277861.3,-0.009133883502924545,-0.16354413256679057,1.3490344444444444,1.2502400000000002,1.257000000000001,1.2645384615384627,1.2696549999999998,1.2601960000000008,1.2367,1.2544747012300494,1.2591150176374912,1.264401653174171,True,False,1.2975565752245368,1.2696549999999998,1.2417534247754627,1.2700283333333333,1.2793881480002216,1.2851785418195676,1.2898584491530116,1.2945383564864559,1.3012012754018678,1.3096885649726902,1.260668518666445,1.254878124847099,1.250198217513655,1.2455183101802108,1.2388553912647988,1.2303681016939765,1.269655,0.014313206084630298,1.2410285878307394,1.2982814121692605,33.39216714218621,-5.0922229396140515e-14,0.3363634711961527,-95.49248747913201,-0.005286635536690731,-0.0006722047756621634,-127708222.40000008,2.63,-0.009420492535944902,-0.02592049253594486,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,40.19894675248689,4.856641310707993,21.044379176189345,bear,normal,False,False,True,False,True,True,False,False
2023-02-27 11:00:00,2023-02-27 11:00:00,MATICUSDT,1h,1.2361,1.2564,1.2367,1.2517,2761028.2,0.012129053125252698,-0.1533987149137639,1.348496685082873,1.2487000000000001,1.253737500000001,1.262946153846155,1.2684199999999997,1.2599600000000009,1.2517,1.2538581009567051,1.2579742456932619,1.2634607899760844,True,False,1.2971910688020103,1.2684199999999997,1.239648931197989,1.268735,1.2786871760227163,1.2848440306808373,1.2898201186921954,1.2947962067035534,1.3018808065841312,1.3109052373843908,1.2587828239772836,1.2526259693191626,1.2476498813078045,1.2426737932964464,1.2355891934158687,1.226564762615609,1.26842,0.014759246878519889,1.2389015062429602,1.29793849375704,43.49489274442287,15.296832741198946,5.098944247066229,-66.15678776290622,-0.005486544282831796,-0.0016350726770960897,-124947194.20000008,-2.16,-0.0023461364593813094,-0.022646136459381294,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,37.18871057000568,7.858328721638055,24.142338795888094,bear,normal,False,False,True,False,False,False,False,False
2023-02-27 12:00:00,2023-02-27 12:00:00,MATICUSDT,1h,1.2355,1.2536,1.2516,1.2375,3314498.1,-0.011344571382919222,-0.16300304362529583,1.3478868131868131,1.24486,1.2498500000000012,1.2595461538461552,1.2668799999999998,1.2596300000000007,1.2375,1.2502229674107708,1.2548243617404524,1.2615377684963744,True,False,1.298652541604485,1.2668799999999998,1.2351074583955146,1.26729,1.2780776067520863,1.284751295674987,1.2901450990510301,1.2955389024270731,1.3032182157082193,1.3130001981020603,1.2565023932479138,1.2498287043250131,1.24443490094897,1.239041097572927,1.2313617842917808,1.2215798018979398,1.26688,0.016298969938394248,1.2342820601232116,1.2994779398767884,37.66996852534788,21.773977111407977,12.356936617535572,-93.3078393881452,-0.006713406755930018,-0.0026507394928628756,-128261692.30000007,2.65,-0.0021109741080409528,-0.020210974108040958,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,27.79337450870301,7.9730488489612465,27.715506965149043,bear,strong,False,False,True,False,False,False,False,False
2023-02-27 13:00:00,2023-02-27 13:00:00,MATICUSDT,1h,1.2362,1.2779,1.2374,1.2708,8107129.1,0.02690909090909077,-0.14048021643557662,1.3474655737704917,1.2489599999999998,1.2514000000000012,1.2594538461538474,1.2670749999999997,1.2598900000000008,1.2708,1.2547956413194883,1.2572821522419213,1.2622238597188653,False,True,1.298893477336429,1.2670749999999997,1.2352565226635706,1.267245,1.2780440113444447,1.2847247556507537,1.290124261322976,1.2955237669951984,1.3032111987997184,1.313003522645952,1.2564459886555552,1.2497652443492462,1.244365738677024,1.2389662330048015,1.2312788012002815,1.221486477354048,1.2670750000000002,0.016322534471674276,1.2344299310566516,1.2997200689433488,53.42299890520641,54.51480696856604,30.528538940390934,-29.63671128107087,-0.004941707476950885,-0.0031089330896804774,-120154563.20000008,-6.32,0.02003345076453633,-0.02166654923546374,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,23.775216138328535,18.491834774255477,28.522867450148265,bear,strong,False,False,False,False,False,False,True,True
2023-02-27 14:00:00,2023-02-27 14:00:00,MATICUSDT,1h,1.2678,1.2825,1.2708,1.2793,7146900.1,0.006688700031476369,-0.13473114643219475,1.3470951086956522,1.2551999999999999,1.2538875000000012,1.2595769230769243,1.2671149999999998,1.260332000000001,1.2793,1.260241054359602,1.260669513435472,1.2634887589989494,False,True,1.2989927838001307,1.2671149999999998,1.2352372161998688,1.2673283333333334,1.2781615472335073,1.2848634507480214,1.2902800576981084,1.2956966646481953,1.3034084440347597,1.3132317820628834,1.2564951194331595,1.2497932159186453,1.2443766089685584,1.2389600020184715,1.231248222631907,1.2214248846037834,1.267115,0.01635295804563056,1.234409083908739,1.299820916091261,56.448708082335955,72.55130756070038,49.613363880224746,-13.384321223709165,-0.0028192455634834523,-0.0030509955844410723,-113007663.10000008,-5.95,0.021571529226745323,0.006871529226745388,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,22.147971360381835,20.572792362768432,28.37502610732414,bear,strong,False,False,False,False,False,False,True,False
2023-02-27 15:00:00,2023-02-27 15:00:00,MATICUSDT,1h,1.2581,1.2874,1.2792,1.2644,7173262.5,-0.011646994450089987,-0.14480892796753475,1.346648108108108,1.26074,1.2548500000000011,1.2584384615384627,1.2659499999999997,1.2604760000000008,1.2644,1.2611652645019127,1.2612434344453993,1.2635562583323605,False,True,1.296404720488117,1.2659499999999997,1.2354952795118823,1.2666833333333334,1.2772167520720141,1.2837331890883168,1.2889998984576572,1.2942666078269975,1.3017649737087704,1.311316463581981,1.2561499145946526,1.24963347757835,1.2443667682090096,1.2391000588396692,1.2316016929578963,1.2220502030846858,1.26595,0.015622941969729067,1.2347041160605419,1.297195883939458,50.28241941047943,90.49276138371413,72.5196253043268,-43.07116104868929,-0.0023128238869662976,-0.0029033612449461173,-120180925.60000008,6.35,0.025975596480067642,-0.0033244035199324617,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,24.081451969898165,19.079238601150898,28.211902512458035,bear,strong,False,False,True,True,False,False,False,False
2023-02-27 16:00:00,2023-02-27 16:00:00,MATICUSDT,1h,1.2388,1.2696,1.2649,1.2496,8561422.4,-0.0117051565960139,-0.15481907338518774,1.3461263440860216,1.2603199999999999,1.2547625000000013,1.256269230769232,1.2637899999999997,1.2603160000000009,1.2496,1.25859520572371,1.2594521368384148,1.2625224614188524,True,False,1.2923925803033336,1.2637899999999997,1.235187419696666,1.2646883333333334,1.2745047158603335,1.2805775626778846,1.2854857539413846,1.2903939452048847,1.29738187852919,1.3062831745494359,1.2548719508063333,1.2487991039887822,1.2438909127252822,1.2389827214617821,1.2319947881374769,1.223093492117231,1.26379,0.01467281410242288,1.2344443717951543,1.2931356282048456,45.021627040939926,74.56488990995148,79.20298628478861,-70.78651685393254,-0.0030703245804419854,-0.002936753912045291,-128742348.00000009,7.12,0.009864796982915092,-0.02093520301708507,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,29.70576380491736,14.631197097944352,30.26106120595856,bear,strong,False,False,True,False,False,False,False,False
2023-02-27 17:00:00,2023-02-27 17:00:00,MATICUSDT,1h,1.2346,1.2505,1.2495,1.24,4272552.5,-0.007682458386683799,-0.16131214068312494,1.3455588235294118,1.26082,1.2537500000000013,1.254069230769232,1.2616149999999995,1.2601360000000008,1.24,1.2544629377851078,1.2564595004017356,1.2608541309433818,True,False,1.2905058480320541,1.2616149999999995,1.2327241519679448,1.2624266666666668,1.2721503206877574,1.2781658015652115,1.283027628575757,1.287889455586302,1.2948113787877564,1.303628590484847,1.2527030126455763,1.246687531768122,1.2418257047575767,1.2369638777470315,1.2300419545455772,1.2212247428484866,1.261615,0.014820692327036589,1.2319736153459266,1.2912563846540732,41.95531609152111,53.611483776110255,72.88971168992524,-88.76404494382024,-0.004394630541650013,-0.0032283292379662355,-133014900.50000009,3.32,-0.006415888300358663,-0.02231588830035869,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,29.492725127801744,14.274478961856051,32.60088025374991,bear,strong,False,False,True,False,False,False,False,False
2023-02-27 18:00:00,2023-02-27 18:00:00,MATICUSDT,1h,1.2164,1.2413,1.2399,1.2258,7832064.2,-0.011451612903225827,-0.17091646939465688,1.3449218085106383,1.25182,1.252387500000001,1.2515615384615397,1.2592849999999995,1.2596740000000008,1.2258,1.2480933960550837,1.2517426541860839,1.2582575286512794,True,False,1.29163071223532,1.2592849999999995,1.226939287764679,1.2600966666666666,1.2710261367326265,1.2777875885530934,1.2832523235860733,1.2887170586190533,1.296497359343974,1.3064079805054798,1.2491671966007067,1.24240574478024,1.23694100974726,1.23147627471428,1.2236959739893594,1.2137853528278535,1.2592849999999998,0.016593000268028305,1.226098999463943,1.2924710005360565,37.84900993542192,35.63623833154249,54.604204005868034,-86.76056338028161,-0.006514874465198606,-0.0038856382834127094,-140846964.70000008,5.89,-0.011170761400307372,-0.036070761400307516,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,False,31.729323308270637,13.64661654135336,34.341835444440754,bear,strong,False,False,True,False,True,True,False,False
2023-02-27 19:00:00,2023-02-27 19:00:00,MATICUSDT,1h,1.2203,1.2352,1.2258,1.2291,2930741.3,0.002692119432207596,-0.16868447751099092,1.3443089947089948,1.2417799999999999,1.2495625000000012,1.2492307692307705,1.2566549999999994,1.259274000000001,1.2291,1.2438726413761763,1.2482591689266864,1.2560977117141476,True,False,1.2898260400803496,1.2566549999999994,1.2234839599196492,1.2575716666666668,1.2691388634417846,1.2762948411077473,1.2820784394953062,1.2878620378828651,1.296096313553288,1.3065852123239454,1.246004469891549,1.2388484922255862,1.2330648938380273,1.2272812954504684,1.2190470197800456,1.208558121009388,1.2566549999999999,0.017016384519201337,1.2226222309615973,1.2906877690384024,39.33498965945524,27.41494529912842,38.887555802260344,-82.11267605633785,-0.007838542787463876,-0.004676219184222943,-137916223.40000007,-2.08,-0.013932081200263458,-0.028832081200263593,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,28.0464941882264,13.610798650168698,35.135993452949776,bear,strong,False,False,True,False,False,False,False,False
2023-02-27 20:00:00,2023-02-27 20:00:00,MATICUSDT,1h,1.2135,1.229,1.229,1.2246,5630179.2,-0.003661215523553918,-0.17172810280689899,1.3436789473684212,1.23382,1.2479500000000012,1.2467615384615398,1.2542849999999994,1.259298000000001,1.2246,1.2395898321814705,1.2446192967841192,1.25376454788347,True,False,1.2894455048315898,1.2542849999999994,1.219124495168409,1.2549899999999998,1.2674744295850884,1.275197847887728,1.2814400626802722,1.2876822774728165,1.296569498533388,1.3078901253605446,1.2425055704149113,1.2347821521122717,1.2285399373197274,1.2222977225271832,1.2134105014666117,1.202089874639455,1.2542849999999999,0.018036958402710423,1.218211083194579,1.2903589168054208,38.000730969103365,21.69771718486926,28.249633605180012,-84.97970230040613,-0.009145251099353047,-0.005570025567248964,-143546402.60000005,4.08,-0.01662749817165432,-0.03212749817165439,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,29.509981851179568,13.176043557168748,36.26514386149471,bear,strong,False,False,True,False,False,False,False,False
